TestNo,TestName
1,net.sf.doodleproject.numerics4j.exception.ConvergenceExceptionTest
2,net.sf.doodleproject.numerics4j.exception.NumericExceptionTest
3,net.sf.doodleproject.numerics4j.IterativeMethodTest
4,net.sf.doodleproject.numerics4j.root.BracketTest
5,net.sf.doodleproject.numerics4j.root.FalsePositionRootFinderTest
6,net.sf.doodleproject.numerics4j.root.NewtonRootFinderTest
7,net.sf.doodleproject.numerics4j.series.PowerSeriesTest
8,net.sf.doodleproject.numerics4j.series.SeriesTest
9,net.sf.doodleproject.numerics4j.statistics.distribution.ExponentialDistributionTest
10,net.sf.doodleproject.numerics4j.statistics.distribution.SaddlePointApproximationTest
11,net.sf.doodleproject.numerics4j.integration.RombergIntegratorTest
12,net.sf.doodleproject.numerics4j.integration.SimpsonsIntegratorTest
13,net.sf.doodleproject.numerics4j.root.BisectionRootFinderTest
14,net.sf.doodleproject.numerics4j.root.SecantRootFinderTest
15,net.sf.doodleproject.numerics4j.statistics.distribution.RayleighDistributionTest
16,net.sf.doodleproject.numerics4j.statistics.distribution.UniformDistributionTest
17,net.sf.doodleproject.numerics4j.continuedfraction.ContinuedFractionTest
18,net.sf.doodleproject.numerics4j.root.BrentRootFinderTest
19,net.sf.doodleproject.numerics4j.special.BetaTest
20,net.sf.doodleproject.numerics4j.special.TrigonometricTest
21,net.sf.doodleproject.numerics4j.statistics.distribution.CauchyDistributionTest
22,net.sf.doodleproject.numerics4j.statistics.distribution.LaplaceDistributionTest
23,net.sf.doodleproject.numerics4j.statistics.distribution.LogisticDistributionTest
24,net.sf.doodleproject.numerics4j.util.DoubleArrayTest
25,net.sf.doodleproject.numerics4j.statistics.distribution.WeibullDistributionTest
26,net.sf.doodleproject.numerics4j.special.ErfTest
27,net.sf.doodleproject.numerics4j.special.GammaTest
28,net.sf.doodleproject.numerics4j.integration.AdaptiveIntegratorTest
29,net.sf.doodleproject.numerics4j.statistics.distribution.PoissonDistributionTest
30,net.sf.doodleproject.numerics4j.statistics.distribution.BinomialDistributionTest
31,net.sf.doodleproject.numerics4j.statistics.distribution.GeometricDistributionTest
32,net.sf.doodleproject.numerics4j.statistics.distribution.HypergeometricDistributionTest
33,net.sf.doodleproject.numerics4j.statistics.distribution.NegativeBinomialDistributionTest
34,net.sf.doodleproject.numerics4j.statistics.distribution.NormalDistributionTest
35,net.sf.doodleproject.numerics4j.statistics.distribution.GammaDistributionTest
36,net.sf.doodleproject.numerics4j.statistics.distribution.ChiSquaredDistributionTest
37,net.sf.doodleproject.numerics4j.statistics.distribution.LogNormalDistributionTest
38,net.sf.doodleproject.numerics4j.statistics.distribution.TDistributionTest
39,net.sf.doodleproject.numerics4j.statistics.distribution.FDistributionTest
40,net.sf.doodleproject.numerics4j.statistics.distribution.BetaDistributionTest
41,net.sf.doodleproject.numerics4j.integration.TrapezoidalIntegratorTest
